Customer ID,CustomerType,CustName,CustState
1045,Individual,Wolfy Halgarth,New York
1045,Individual,Wolfy Halgarth,New York
1048,Individual,Lilly Burrill,New York
1048,Individual,Lilly Burrill,New York
1109,Individual,Odelia Jamblin,Alabama
1109,Individual,Odelia Jamblin,Alabama
1110,Business,Armstrong LLC,Virginia
1110,Business,Armstrong LLC,Virginia
1111,Individual,Umeko Dongate,California
1112,Business,Baumbach Inc,Virginia
1112,Business,Baumbach Inc,Virginia
1112,Business,Baumbach Inc,Virginia
1113,Individual,Odo Rummer,California
1113,Individual,Odo Rummer,California
1114,Individual,Alphonso Grzelewski,Arizona
1115,Individual,Alano Cudmore,Tennessee
1116,Individual,Lucinda Dangerfield,Delaware
1116,Individual,Lucinda Dangerfield,Delaware
1117,Individual,Frank Martini,Illinois
1117,Individual,Frank Martini,Illinois
1117,Individual,Frank Martini,Illinois
1118,Individual,Dante Whittington,Alabama
1118,Individual,Dante Whittington,Alabama
1118,Individual,Dante Whittington,Alabama
1119,Individual,Lea Burgot,Ohio
1119,Individual,Lea Burgot,Ohio
1120,Individual,Karon Gierhard,Illinois
1120,Individual,Karon Gierhard,Illinois
1121,Individual,Kienan Agiolfinger,Colorado
1121,Individual,Kienan Agiolfinger,Colorado
1122,Individual,Ondrea Franck,Kansas
1122,Individual,Ondrea Franck,Kansas
1123,Individual,Olenolin Foord,Tennessee
1123,Individual,Olenolin Foord,Tennessee
1124,Individual,Linnet Bleiman,Florida
1125,Individual,Fairleigh Peiser,Idaho
1125,Individual,Fairleigh Peiser,Idaho
1125,Individual,Fairleigh Peiser,Idaho
1126,Individual,Quint Rozalski,West Virginia
1127,Individual,Gardener Tolomio,Kentucky
1127,Individual,Gardener Tolomio,Kentucky
1128,Individual,Hashim Colerick,Wisconsin
1128,Individual,Hashim Colerick,Wisconsin
1128,Individual,Hashim Colerick,Wisconsin
1129,Individual,Yorgos Dunton,Connecticut
1129,Individual,Yorgos Dunton,Connecticut
1130,Individual,Alina Fallow,Iowa
1131,Individual,Guinna Hanlon,California
1131,Individual,Guinna Hanlon,California
1132,Business,Beatty Group,California
1132,Business,Beatty Group,California
1132,Business,Beatty Group,California
1133,Individual,Dunn Tawton,New Mexico
1133,Individual,Dunn Tawton,New Mexico
1133,Individual,Dunn Tawton,New Mexico
1134,Individual,Jeremias Gluyas,Michigan
1135,Individual,Morten Aspray,Minnesota
1136,Business,Champlin Restaurant Supply,Oklahoma
1136,Business,Champlin Restaurant Supply,Oklahoma
1136,Business,Champlin Restaurant Supply,Oklahoma
1136,Business,Champlin Restaurant Supply,Oklahoma
1137,Business,Franecki Group,Tennessee
1137,Business,Franecki Group,Tennessee
1137,Business,Franecki Group,Tennessee
1137,Business,Franecki Group,Tennessee
1138,Business,Kunde Group,North Carolina
1138,Business,Kunde Group,North Carolina
1139,Individual,Randee McCook,Massachusetts
1139,Individual,Randee McCook,Massachusetts
1140,Business,Rutherford Inc,Alabama
1140,Business,Rutherford Inc,Alabama
1140,Business,Rutherford Inc,Alabama
1141,Individual,Rainer Hazart,Mississippi
1141,Individual,Rainer Hazart,Mississippi
1142,Individual,Ursula Logsdale,Tennessee
